Number,sample,fq1,fq2,Subject,Abbrv,reps,,Lines,Genotype/Accesion IDs,Source,Category
100,S9-M18-1,S9-M18-1_L001_R1_001.fastq.gz,S9-M18-1_L001_R2_001.fastq.gz,S9,M18,1,18,MZ15,Mt42,Hapmap3,Modern maize
101,S9-M18-2,S9-M18-2_L001_R1_001.fastq.gz,S9-M18-2_L001_R2_001.fastq.gz,S9,M18,2,18,MZ15,Mt42,Hapmap3,Modern maize
102,S9-M18-3,S9-M18-3_L001_R1_001.fastq.gz,S9-M18-3_L001_R2_001.fastq.gz,S9,M18,3,18,MZ15,Mt42,Hapmap3,Modern maize
103,S9-M19-1,S9-M19-1_L001_R1_001.fastq.gz,S9-M19-1_L001_R2_001.fastq.gz,S9,M19,1,19,MZ16,NC222,Hapmap3,Modern maize
104,S9-M19-2,S9-M19-2_L001_R1_001.fastq.gz,S9-M19-2_L001_R2_001.fastq.gz,S9,M19,2,19,MZ16,NC222,Hapmap3,Modern maize
105,S9-M2-1,S9-M2-1_L001_R1_001.fastq.gz,S9-M2-1_L001_R2_001.fastq.gz,S9,M2,1,2,MZ21,A635,Hapmap3,Modern maize
106,S9-M2-2,S9-M2-2_L001_R1_001.fastq.gz,S9-M2-2_L001_R2_001.fastq.gz,S9,M2,2,2,MZ21,A635,Hapmap3,Modern maize
107,S9-M2-3,S9-M2-3_L001_R1_001.fastq.gz,S9-M2-3_L001_R2_001.fastq.gz,S9,M2,3,2,MZ21,A635,Hapmap3,Modern maize
108,S9-M20-1,S9-M20-1_L001_R1_001.fastq.gz,S9-M20-1_L001_R2_001.fastq.gz,S9,M20,1,20,MZ12,NC230,Hapmap3,Modern maize
109,S9-M20-2,S9-M20-2_L001_R1_001.fastq.gz,S9-M20-2_L001_R2_001.fastq.gz,S9,M20,2,20,MZ12,NC230,Hapmap3,Modern maize
110,S9-M20-3,S9-M20-3_L001_R1_001.fastq.gz,S9-M20-3_L001_R2_001.fastq.gz,S9,M20,3,20,MZ12,NC230,Hapmap3,Modern maize
111,S9-M21-1,S9-M21-1_L001_R1_001.fastq.gz,S9-M21-1_L001_R2_001.fastq.gz,S9,M21,1,21,MZ8,NC358,NAM Parents,Modern maize
112,S9-M21-2,S9-M21-2_L001_R1_001.fastq.gz,S9-M21-2_L001_R2_001.fastq.gz,S9,M21,2,21,MZ8,NC358,NAM Parents,Modern maize
113,S9-M21-3,S9-M21-3_L001_R1_001.fastq.gz,S9-M21-3_L001_R2_001.fastq.gz,S9,M21,3,21,MZ8,NC358,NAM Parents,Modern maize
114,S9-M22-1,S9-M22-1_L001_R1_001.fastq.gz,S9-M22-1_L001_R2_001.fastq.gz,S9,M22,1,22,MZ3,Oh7B,NAM Parents,Modern maize
115,S9-M22-2,S9-M22-2_L001_R1_001.fastq.gz,S9-M22-2_L001_R2_001.fastq.gz,S9,M22,2,22,MZ3,Oh7B,NAM Parents,Modern maize
116,S9-M22-3,S9-M22-3_L001_R1_001.fastq.gz,S9-M22-3_L001_R2_001.fastq.gz,S9,M22,3,22,MZ3,Oh7B,NAM Parents,Modern maize
117,S9-M23-1,S9-M23-1_L001_R1_001.fastq.gz,S9-M23-1_L001_R2_001.fastq.gz,S9,M23,1,23,MZ2,Oh43,NAM Parents,Modern maize
118,S9-M23-2,S9-M23-2_L001_R1_001.fastq.gz,S9-M23-2_L001_R2_001.fastq.gz,S9,M23,2,23,MZ2,Oh43,NAM Parents,Modern maize
119,S9-M23-3,S9-M23-3_L001_R1_001.fastq.gz,S9-M23-3_L001_R2_001.fastq.gz,S9,M23,3,23,MZ2,Oh43,NAM Parents,Modern maize
120,S9-M24-1,S9-M24-1_L001_R1_001.fastq.gz,S9-M24-1_L001_R2_001.fastq.gz,S9,M24,1,24,MZ18,VA22,Hapmap3,Modern maize
121,S9-M24-2,S9-M24-2_L001_R1_001.fastq.gz,S9-M24-2_L001_R2_001.fastq.gz,S9,M24,2,24,MZ18,VA22,Hapmap3,Modern maize
122,S9-M24-3,S9-M24-3_L001_R1_001.fastq.gz,S9-M24-3_L001_R2_001.fastq.gz,S9,M24,3,24,MZ18,VA22,Hapmap3,Modern maize
123,S9-M25-1,S9-M25-1_L001_R1_001.fastq.gz,S9-M25-1_L001_R2_001.fastq.gz,S9,M25,1,25,MZ13,VA59,Hapmap3,Modern maize
124,S9-M25-2,S9-M25-2_L001_R1_001.fastq.gz,S9-M25-2_L001_R2_001.fastq.gz,S9,M25,2,25,MZ13,VA59,Hapmap3,Modern maize
125,S9-M25-3,S9-M25-3_L001_R1_001.fastq.gz,S9-M25-3_L001_R2_001.fastq.gz,S9,M25,3,25,MZ13,VA59,Hapmap3,Modern maize
126,S9-M26-1,S9-M26-1_L001_R1_001.fastq.gz,S9-M26-1_L001_R2_001.fastq.gz,S9,M26,1,26,MZ22,W182B,Hapmap3,Modern maize
127,S9-M26-2,S9-M26-2_L001_R1_001.fastq.gz,S9-M26-2_L001_R2_001.fastq.gz,S9,M26,2,26,MZ22,W182B,Hapmap3,Modern maize
128,S9-M26-3,S9-M26-3_L001_R1_001.fastq.gz,S9-M26-3_L001_R2_001.fastq.gz,S9,M26,3,26,MZ22,W182B,Hapmap3,Modern maize
129,S9-M3-1,S9-M3-1_L001_R1_001.fastq.gz,S9-M3-1_L001_R2_001.fastq.gz,S9,M3,1,3,MZ20,A680,Hapmap3,Modern maize
130,S9-M3-2,S9-M3-2_L001_R1_001.fastq.gz,S9-M3-2_L001_R2_001.fastq.gz,S9,M3,2,3,MZ20,A680,Hapmap3,Modern maize
131,S9-M3-3,S9-M3-3_L001_R1_001.fastq.gz,S9-M3-3_L001_R2_001.fastq.gz,S9,M3,3,3,MZ20,A680,Hapmap3,Modern maize
132,S9-M4-1,S9-M4-1_L001_R1_001.fastq.gz,S9-M4-1_L001_R2_001.fastq.gz,S9,M4,1,4,MZ1,B73,NAM Parents,Modern maize
133,S9-M5-1,S9-M5-1_L001_R1_001.fastq.gz,S9-M5-1_L001_R2_001.fastq.gz,S9,M5,1,5,MZ10,B97,NAM Parents,Modern maize
134,S9-M5-2,S9-M5-2_L001_R1_001.fastq.gz,S9-M5-2_L001_R2_001.fastq.gz,S9,M5,2,5,MZ10,B97,NAM Parents,Modern maize
135,S9-M5-3,S9-M5-3_L001_R1_001.fastq.gz,S9-M5-3_L001_R2_001.fastq.gz,S9,M5,3,5,MZ10,B97,NAM Parents,Modern maize
136,S9-M6-1,S9-M6-1_L001_R1_001.fastq.gz,S9-M6-1_L001_R2_001.fastq.gz,S9,M6,1,6,MZ25,B164,Hapmap3,Modern maize
137,S9-M6-2,S9-M6-2_L001_R1_001.fastq.gz,S9-M6-2_L001_R2_001.fastq.gz,S9,M6,2,6,MZ25,B164,Hapmap3,Modern maize
138,S9-M6-3,S9-M6-3_L001_R1_001.fastq.gz,S9-M6-3_L001_R2_001.fastq.gz,S9,M6,3,6,MZ25,B164,Hapmap3,Modern maize
139,S9-M7-1,S9-M7-1_L001_R1_001.fastq.gz,S9-M7-1_L001_R2_001.fastq.gz,S9,M7,1,7,MZ26,C49A,Hapmap3,Modern maize
140,S9-M7-2,S9-M7-2_L001_R1_001.fastq.gz,S9-M7-2_L001_R2_001.fastq.gz,S9,M7,2,7,MZ26,C49A,Hapmap3,Modern maize
141,S9-M7-3,S9-M7-3_L001_R1_001.fastq.gz,S9-M7-3_L001_R2_001.fastq.gz,S9,M7,3,7,MZ26,C49A,Hapmap3,Modern maize
142,S9-M8-1,S9-M8-1_L001_R1_001.fastq.gz,S9-M8-1_L001_R2_001.fastq.gz,S9,M8,1,8,MZ24,CML91,Hapmap3,Modern maize
143,S9-M8-2,S9-M8-2_L001_R1_001.fastq.gz,S9-M8-2_L001_R2_001.fastq.gz,S9,M8,2,8,MZ24,CML91,Hapmap3,Modern maize
144,S9-M8-3,S9-M8-3_L001_R1_001.fastq.gz,S9-M8-3_L001_R2_001.fastq.gz,S9,M8,3,8,MZ24,CML91,Hapmap3,Modern maize
145,S9-M9-1,S9-M9-1_L001_R1_001.fastq.gz,S9-M9-1_L001_R2_001.fastq.gz,S9,M9,1,9,MZ14,H95,Hapmap3,Modern maize
146,S9-M9-2,S9-M9-2_L001_R1_001.fastq.gz,S9-M9-2_L001_R2_001.fastq.gz,S9,M9,2,9,MZ14,H95,Hapmap3,Modern maize
147,S9-M9-3,S9-M9-3_L001_R1_001.fastq.gz,S9-M9-3_L001_R2_001.fastq.gz,S9,M9,3,9,MZ14,H95,Hapmap3,Modern maize
148,S9-T52-1,S9-T52-1_L001_R1_001.fastq.gz,S9-T52-1_L001_R2_001.fastq.gz,S9,T52,1,52,,Ames 21785,,Teosinte
149,S9-T52-2,S9-T52-2_L001_R1_001.fastq.gz,S9-T52-2_L001_R2_001.fastq.gz,S9,T52,2,52,,Ames 21785,,Teosinte
150,S9-T52-3,S9-T52-3_L001_R1_001.fastq.gz,S9-T52-3_L001_R2_001.fastq.gz,S9,T52,3,52,,Ames 21785,,Teosinte
151,S9-T53-1,S9-T53-1_L001_R1_001.fastq.gz,S9-T53-1_L001_R2_001.fastq.gz,S9,T53,1,53,,Ames 21786,,Teosinte
152,S9-T53-2,S9-T53-2_L001_R1_001.fastq.gz,S9-T53-2_L001_R2_001.fastq.gz,S9,T53,2,53,,Ames 21786,,Teosinte
153,S9-T53-3,S9-T53-3_L001_R1_001.fastq.gz,S9-T53-3_L001_R2_001.fastq.gz,S9,T53,3,53,,Ames 21786,,Teosinte
154,S9-T54-1,S9-T54-1_L001_R1_001.fastq.gz,S9-T54-1_L001_R2_001.fastq.gz,S9,T54,1,54,,Ames 21787,,Teosinte
